Rank,Player,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FGM,Pts Agn,Tack,Pts
87,"Wright, Kendall",TEN,@TBB,WR,0.0,0.0,0.9,0.0,4.8,62.0,0.2,0.0,0.0,0.0,12.5
88,"Maclin, Jeremy",KCC,@HOU,WR,0.0,0.0,0.0,0.0,4.2,64.2,0.3,0.0,0.0,0.0,12.4
89,"Johnson, Charles",MIN,@SFO,WR,0.0,0.0,2.2,0.1,4.0,57.8,0.3,0.0,0.0,0.0,12.4
90,"Stewart, Jonathan",CAR,@JAC,RB,0.0,0.0,72.7,0.3,1.8,12.1,0.1,0.0,0.0,0.0,12.4
91,"Fitzgerald, Larry",ARZ,NOR,WR,0.0,0.0,0.1,0.0,5.1,58.3,0.2,0.0,0.0,0.0,12.4
92,"Decker, Eric",NYJ,CLE,WR,0.0,0.0,2.3,0.0,4.7,55.6,0.3,0.0,0.0,0.0,12.3
93,"Abdullah, Ameer",DET,@SDC,RB,0.0,0.0,45.9,0.3,2.7,25.6,0.1,0.0,0.0,0.0,12.3
94,"Garcon, Pierre",WAS,MIA,WR,0.0,0.0,0.1,0.0,4.7,59.3,0.2,0.0,0.0,0.0,12.1
95,"Jackson, Vincent",TBB,TEN,WR,0.0,0.0,0.0,0.0,4.5,64.2,0.2,0.0,0.0,0.0,12.1
96,"Smith, Torrey",SFO,MIN,WR,0.0,0.0,0.6,0.0,3.5,49.8,0.5,0.0,0.0,0.0,12.0
97,"Bortles, Blake",JAC,CAR,QB,193.8,1.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
98,"Baldwin, Doug",SEA,@STL,WR,0.0,0.0,1.8,0.0,4.1,58.0,0.3,0.0,0.0,0.0,11.8
99,"Clay, Charles",BUF,IND,TE,0.0,0.0,0.0,0.0,4.8,53.0,0.3,0.0,0.0,0.0,11.8
100,"Miller, Lamar",MIA,@WAS,RB,0.0,0.0,62.2,0.3,2.1,15.5,0.0,0.0,0.0,0.0,11.7
101,"Olsen, Greg",CAR,@JAC,TE,0.0,0.0,0.0,0.0,4.6,54.0,0.3,0.0,0.0,0.0,11.6
102,"Funchess, Devin",CAR,@JAC,WR,0.0,0.0,0.5,0.0,3.6,50.4,0.5,0.0,0.0,0.0,11.6
103,"Stills, Kenny",MIA,@WAS,WR,0.0,0.0,-0.2,0.0,4.7,53.7,0.2,0.0,0.0,0.0,11.4
104,"Morris, Alfred",WAS,MIA,RB,0.0,0.0,73.1,0.4,0.9,7.7,0.0,0.0,0.0,0.0,11.4
105,"Randle, Rueben",NYG,@DAL,WR,0.0,0.0,0.2,0.0,4.1,60.3,0.2,0.0,0.0,0.0,11.3
106,"Smith, Steve",BAL,@DEN,WR,0.0,0.0,0.0,0.0,4.1,54.8,0.3,0.0,0.0,0.0,11.3
107,"Yeldon, T.J.",JAC,CAR,RB,0.0,0.0,50.3,0.4,2.4,17.1,0.1,0.0,0.0,0.0,11.3
108,"Cardinals, Arizona",ARZ,NOR,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,11.3
109,"Winston, Jameis",TBB,TEN,QB,194.3,1.2,6.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.1
110,"Wallace, Mike",MIN,@SFO,WR,0.0,0.0,0.6,0.0,3.5,50.0,0.4,0.0,0.0,0.0,11.1
111,"Randle, Joseph",DAL,NYG,RB,0.0,0.0,57.0,0.5,1.4,10.8,0.0,0.0,0.0,0.0,11.1
112,"Walker, Delanie",TEN,@TBB,TE,0.0,0.0,0.0,0.0,4.2,50.2,0.3,0.0,0.0,0.0,11.0
113,"49ers, San Francisco",SFO,MIN,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,11.0
114,"Mathews, Ryan",PHI,@ATL,RB,0.0,0.0,42.4,0.6,2.0,13.4,0.0,0.0,0.0,0.0,11.0
115,"Hoyer, Brian",HOU,KCC,QB,212.7,0.8,7.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.0
116,"Bengals, Cincinnati",CIN,@OAK,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,11.0
117,"Colts, Indianapolis",IND,@BUF,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,11.0
118,"Cameron, Jordan",MIA,@WAS,TE,0.0,0.0,0.0,0.0,4.1,53.7,0.2,0.0,0.0,0.0,10.9
119,"Johnson, Andre",IND,@BUF,WR,0.0,0.0,0.2,0.0,4.6,52.4,0.2,0.0,0.0,0.0,10.9
120,"Lewis, Dion",NEP,PIT,RB,0.0,0.0,39.5,0.5,1.8,14.7,0.1,0.0,0.0,0.0,10.9
