Rank,Player,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FGM,Pts Agn,Tack,Pts
236,"Carpenter, Dan",BUF,IND,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.6
237,"Smith, Daryl",BAL,@DEN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,7.5
238,"Williams, Karlos",BUF,IND,RB,0.0,0.0,37.4,0.1,1.9,13.9,0.0,0.0,0.0,0.0,7.5
239,"Dansby, Karlos",CLE,@NYJ,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,7.5
240,"Woodson, Charles",OAK,CIN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,7.5
241,"Jones, Reshad",MIA,@WAS,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,7.5
242,"Raiders, Oakland",OAK,CIN,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,0.0,7.5
243,"Cyprien, Johnathan",JAC,CAR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,7.4
244,"Williams, Andre",NYG,@DAL,RB,0.0,0.0,34.8,0.3,1.1,8.2,0.0,0.0,0.0,0.0,7.4
245,"Weddle, Eric",SDC,DET,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,7.4
246,"Freeman, Jerrell",IND,@BUF,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.4
247,"Mason, Tre",STL,SEA,RB,0.0,0.0,40.5,0.2,1.2,9.4,0.0,0.0,0.0,0.0,7.4
248,"Kendricks, Mychal",PHI,@ATL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,7.4
249,"Gresham, Jermaine",ARZ,NOR,TE,0.0,0.0,0.0,0.0,3.1,27.1,0.2,0.0,0.0,0.0,7.4
250,"Dunbar, Lance",DAL,NYG,RB,0.0,0.0,25.5,0.2,1.5,19.5,0.1,0.0,0.0,0.0,7.4
251,"Mack, Khalil",OAK,CIN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,7.3
252,"Britt, Kenny",STL,SEA,WR,0.0,0.0,0.9,0.0,2.5,38.6,0.1,0.0,0.0,0.0,7.3
253,"Rivera, Mychal",OAK,CIN,TE,0.0,0.0,0.0,0.0,3.0,28.6,0.3,0.0,0.0,0.0,7.3
254,"Bailey, Stedman",STL,SEA,WR,0.0,0.0,3.6,0.1,2.0,26.7,0.3,0.0,0.0,0.0,7.3
255,"Pryor, Calvin",NYJ,CLE,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,7.3
256,"Bullock, Randy",HOU,KCC,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,7.3
257,"Hill, Will",BAL,@DEN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,7.3
258,"Moore, William",ATL,PHI,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,7.2
259,"Bailey, Dan",DAL,NYG,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,7.2
260,"Trufant, Desmond",ATL,PHI,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,7.2
261,"Patterson, Cordarrelle",MIN,@SFO,WR,0.0,0.0,6.1,0.1,2.3,25.4,0.2,0.0,0.0,0.0,7.2
262,"Beasley, Cole",DAL,NYG,WR,0.0,0.0,0.1,0.0,2.8,33.3,0.2,0.0,0.0,0.0,7.2
263,"Robinson, Keenan",WAS,MIA,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,7.1
264,"Bowman, Navorro",SFO,MIN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,7.1
265,"Hawkins, Andrew",CLE,@NYJ,WR,0.0,0.0,0.7,0.0,2.8,38.4,0.1,0.0,0.0,0.0,7.1
266,"Bethea, Antoine",SFO,MIN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,7.1
267,"Berry, Eric",KCC,@HOU,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.1
268,"Shazier, Ryan",PIT,@NEP,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,7.1
269,"Brown, Preston",BUF,IND,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.1
270,"Ishmael, Kemal",ATL,PHI,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.1
271,"Thomas, Shamarko",PIT,@NEP,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,7.0
272,"Sankey, Bishop",TEN,@TBB,RB,0.0,0.0,39.0,0.2,1.3,8.6,0.0,0.0,0.0,0.0,7.0
273,"Bush, Reggie",SFO,MIN,RB,0.0,0.0,24.3,0.2,2.1,12.4,0.1,0.0,0.0,0.0,7.0
274,"Whitner, Donte",CLE,@NYJ,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,7.0
275,"West, Terrance",TEN,@TBB,RB,0.0,0.0,38.8,0.2,1.0,6.8,0.1,0.0,0.0,0.0,7.0
276,"Gano, Graham",CAR,@JAC,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,7.0
277,"Davis, Demario",NYJ,CLE,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,7.0
278,"Catanzaro, Chandler",ARZ,NOR,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,6.9
279,"Sims, Charles",TBB,TEN,RB,0.0,0.0,22.5,0.1,2.2,20.8,0.0,0.0,0.0,0.0,6.9
280,"Harris, David",NYJ,CLE,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,6.9
281,"Barr, Anthony",MIN,@SFO,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,6.9
282,"Woods, Robert",BUF,IND,WR,0.0,0.0,-0.0,0.0,2.9,31.3,0.2,0.0,0.0,0.0,6.9
283,"Oliver, Branden",SDC,DET,RB,0.0,0.0,27.0,0.1,2.0,14.1,0.0,0.0,0.0,0.0,6.9
284,"Nugent, Mike",CIN,@OAK,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,6.9
285,"Mayo, Jerod",NEP,PIT,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,6.8
286,"Johnson, Rashad",ARZ,NOR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.8
287,"Tulloch, Stephen",DET,@SDC,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,6.7
288,"Hill, Josh",NOR,@ARZ,TE,0.0,0.0,0.0,0.0,2.5,26.5,0.3,0.0,0.0,0.0,6.7
289,"Nelson, Reggie",CIN,@OAK,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,6.7
290,"Perriman, Breshad",BAL,@DEN,WR,0.0,0.0,-0.1,0.0,2.7,34.3,0.1,0.0,0.0,0.0,6.7
291,"Matthews, Clay",GBP,@CHI,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,6.7
292,"Jenkins, Malcolm",PHI,@ATL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.6
293,"Hillman, Ronnie",DEN,BAL,RB,0.0,0.0,35.3,0.1,1.3,8.7,0.1,0.0,0.0,0.0,6.6
294,"Collins, Landon",NYG,@DAL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,6.6
295,"Cushing, Brian",HOU,KCC,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,6.6
296,"Harris, Chris",DEN,BAL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,6.6
297,"Bradham, Nigel",BUF,IND,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,6.6
298,"McDougald, Bradley",TBB,TEN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.6
299,"Wright, Jarius",MIN,@SFO,WR,0.0,0.0,1.1,0.0,2.2,32.2,0.2,0.0,0.0,0.0,6.6
300,"Hartline, Brian",CLE,@NYJ,WR,0.0,0.0,0.5,0.0,2.5,34.6,0.1,0.0,0.0,0.0,6.6
301,"Wilson, Albert",KCC,@HOU,WR,0.0,0.0,0.2,0.0,2.2,32.1,0.2,0.0,0.0,0.0,6.5
302,"Roberts, Andre",WAS,MIA,WR,0.0,0.0,0.6,0.0,2.6,33.8,0.1,0.0,0.0,0.0,6.5
303,"Anthony, Stephone",NOR,@ARZ,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.5
304,"Franks, Andrew",MIA,@WAS,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,6.4
305,"Weatherspoon, Sean",ARZ,NOR,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,6.4
306,"Thomas, Earl",SEA,@STL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,6.4
307,"Chancellor, Kam",SEA,@STL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.4
308,"Graham, Corey",BUF,IND,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.4
309,"Clinton-Dix, Hasean",GBP,@CHI,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.4
310,"Joseph, Johnathan",HOU,KCC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,6.4
311,"Rodgers, Richard",GBP,@CHI,TE,0.0,0.0,0.0,0.0,2.2,25.3,0.3,0.0,0.0,0.0,6.4
312,"Gipson, Tashaun",CLE,@NYJ,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,6.4
313,"Lamur, Emmanuel",CIN,@OAK,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.4
314,"Allen, Nate",OAK,CIN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,6.4
315,"Beason, Jon",NYG,@DAL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.3
316,"Davis, Thomas",CAR,@JAC,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,6.3
317,"Walsh, Blair",MIN,@SFO,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,6.3
318,"Graham, Garrett",HOU,KCC,TE,0.0,0.0,0.0,0.0,2.5,27.9,0.2,0.0,0.0,0.0,6.3
319,"Marshall, Brandon",DEN,BAL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,6.3
320,"Fuller, Kyle",CHI,GBP,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,6.3
321,"Celek, Brent",PHI,@ATL,TE,0.0,0.0,0.0,0.0,2.3,27.5,0.2,0.0,0.0,0.0,6.3
322,"Bucannon, Deone",ARZ,NOR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,6.3
323,"McCourty, Jason ",TEN,@TBB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.3
324,"Miller, Von",DEN,BAL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.2
325,"Fleener, Coby",IND,@BUF,TE,0.0,0.0,0.0,0.0,2.1,28.3,0.2,0.0,0.0,0.0,6.2
326,"Trevathan, Danny",DEN,BAL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.2
327,"Johnson, Chris",ARZ,NOR,RB,0.0,0.0,33.4,0.1,1.4,9.9,0.0,0.0,0.0,0.0,6.2
328,"Scobee, Josh",PIT,@NEP,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,6.2
329,"Ihenacho, Duke",WAS,MIA,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,6.2
330,"Moncrief, Donte",IND,@BUF,WR,0.0,0.0,0.8,0.0,2.0,28.4,0.2,0.0,0.0,0.0,6.2
331,"Brindza, Kyle",TBB,TEN,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,6.1
332,"McKelvin, Leodis",BUF,IND,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,6.1
333,"Watt, J.J.",HOU,KCC,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,6.1
334,"Barrington, Sam",GBP,@CHI,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.1
335,"Parker, Ron",KCC,@HOU,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.1
336,"Powell, Bilal",NYJ,CLE,RB,0.0,0.0,29.3,0.1,1.5,10.8,0.0,0.0,0.0,0.0,6.1
337,"Williams, Tramon",CLE,@NYJ,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,6.1
338,"Hayward, Casey",GBP,@CHI,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,6.1
339,"Griffin, Michael",TEN,@TBB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.1
340,"Cunningham, Benny",STL,SEA,RB,0.0,0.0,13.8,0.1,2.2,18.2,0.0,0.0,0.0,0.0,6.0
341,"Williamson, Avery",TEN,@TBB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.0
342,"Kennard, Devon",NYG,@DAL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,6.0
343,"Thurmond, Walter",PHI,@ATL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,6.0
344,"Hocker, Zach",NOR,@ARZ,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,5.9
345,"Harper, Roman",CAR,@JAC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.9
346,"Butler, Donald",SDC,DET,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.9
347,"Zuerlein, Greg",STL,SEA,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,5.9
348,"Hightower, Dont'a",NEP,PIT,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,5.9
349,"Maxwell, Byron",PHI,@ATL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.9
350,"Forbath, Kai",WAS,MIA,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,5.8
351,"Bell, Joique",DET,@SDC,RB,0.0,0.0,25.5,0.2,1.1,11.1,0.0,0.0,0.0,0.0,5.8
352,"Searcy, DaNorris",TEN,@TBB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,5.8
353,"Chandler, Scott",NEP,PIT,TE,0.0,0.0,-0.0,0.0,2.3,24.3,0.2,0.0,0.0,0.0,5.8
354,"Barwin, Connor",PHI,@ATL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,5.8
355,"Cotchery, Jerricho",CAR,@JAC,WR,0.0,0.0,0.3,0.0,2.4,26.8,0.1,0.0,0.0,0.0,5.8
356,"Verner, Alterraun",TBB,TEN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,5.7
357,"Blanton, Robert",MIN,@SFO,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,5.7
358,"Tillman, Charles",CAR,@JAC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.7
359,"Goldson, Dashon",WAS,MIA,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,5.7
360,"Hayden, D.J.",OAK,CIN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,5.7
361,"Branch, Tyvon",KCC,@HOU,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,5.7
362,"Brown, Zach",TEN,@TBB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,5.7
363,"Mauga, Josh",KCC,@HOU,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,5.7
364,"Jones, Matt",WAS,MIA,RB,0.0,0.0,21.6,0.1,1.5,13.9,0.0,0.0,0.0,0.0,5.7
365,"Washington, Nate",HOU,KCC,WR,0.0,0.0,0.6,0.0,2.3,31.4,0.0,0.0,0.0,0.0,5.7
366,"McCourty, Devin",NEP,PIT,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,5.6
367,"Robertson, Craig",CLE,@NYJ,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.6
368,"Janikowski, Sebastian",OAK,CIN,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,5.6
369,"Ward, Terron",ATL,PHI,RB,0.0,0.0,16.3,0.1,1.8,11.4,0.1,0.0,0.0,0.0,5.6
370,"Alford, Robert",ATL,PHI,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.6
371,"Lambo, Josh",SDC,DET,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,5.6
372,"McKinnon, Jerick",MIN,@SFO,RB,0.0,0.0,29.9,0.0,1.5,8.9,0.0,0.0,0.0,0.0,5.5
373,"Sheppard, Kelvin",MIA,@WAS,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,5.5
374,"Jones, Adam",CIN,@OAK,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,5.5
375,"Riley, Perry",WAS,MIA,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,5.5
376,"Santos, Cairo",KCC,@HOU,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,5.5
377,"McLeod, Rodney",STL,SEA,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.5
378,"Holmes, Andre",OAK,CIN,WR,0.0,0.0,0.0,0.0,2.1,27.8,0.1,0.0,0.0,0.0,5.5
379,"Spiller, C.J.",NOR,@ARZ,RB,0.0,0.0,19.0,0.1,1.6,12.1,0.1,0.0,0.0,0.0,5.5
380,"Williams, Damien",MIA,@WAS,RB,0.0,0.0,13.7,0.0,1.8,16.5,0.1,0.0,0.0,0.0,5.5
381,"Williams, Duke",BUF,IND,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.5
382,"Parker, DeVante",MIA,@WAS,WR,0.0,0.0,0.3,0.0,1.8,36.7,0.0,0.0,0.0,0.0,5.5
383,"Brown, Josh",NYG,@DAL,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,5.5
384,"Hester, Devin",ATL,PHI,WR,0.0,0.0,1.8,0.1,2.0,25.7,0.1,0.0,0.0,0.0,5.4
385,"Huff, Josh",PHI,@ATL,WR,0.0,0.0,0.0,0.0,2.4,30.2,0.0,0.0,0.0,0.0,5.4
386,"Brown, Philly",CAR,@JAC,WR,0.0,0.0,3.3,0.0,2.1,27.1,0.1,0.0,0.0,0.0,5.4
387,"Amukamara, Prince",NYG,@DAL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,5.4
388,"Ryans, Demeco",PHI,@ATL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.4
389,"Verrett, Jason",SDC,DET,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,5.4
390,"Lansanah, Danny",TBB,TEN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,5.4
391,"Abdullah, Husain",KCC,@HOU,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.3
392,"Lewis, Kendrick",BAL,@DEN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,5.3
393,"Grimes, Brent",MIA,@WAS,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.3
394,"Hall, DeAngelo",WAS,MIA,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,5.3
395,"Wilhoite, Michael",SFO,MIN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,5.3
396,"Jenkins, Janoris",STL,SEA,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.3
397,"Gabriel, Taylor",CLE,@NYJ,WR,0.0,0.0,-0.0,0.0,1.9,31.4,0.0,0.0,0.0,0.0,5.3
398,"Wilcox, J.J.",DAL,NYG,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,5.3
399,"Sherman, Richard",SEA,@STL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.3
400,"Rey, Vincent",CIN,@OAK,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,5.3
401,"Taliaferro, Lorenzo",BAL,@DEN,RB,0.0,0.0,21.7,0.2,1.0,10.5,0.0,0.0,0.0,0.0,5.3
402,"Robinson, Khiry",NOR,@ARZ,RB,0.0,0.0,23.9,0.2,1.1,7.6,0.0,0.0,0.0,0.0,5.3
403,"Mitchell, Mike",PIT,@NEP,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.2
404,"Bolden, Brandon",NEP,PIT,RB,0.0,0.0,15.9,0.1,1.5,13.9,0.0,0.0,0.0,0.0,5.2
405,"Johnson, Trumaine",STL,SEA,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.2
406,"Kerrigan, Ryan",WAS,MIA,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.2
407,"Starks, James",GBP,@CHI,RB,0.0,0.0,25.3,0.1,1.0,7.4,0.0,0.0,0.0,0.0,5.2
408,"Durant, Justin",ATL,PHI,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,5.2
409,"Thomas, James",NYG,@DAL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.2
410,"Jefferson, Tony",ARZ,NOR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,5.1
411,"Wright, K.J.",SEA,@STL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,5.1
412,"Williams, Aaron",BUF,IND,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,5.1
413,"Skrine, Buster",NYJ,CLE,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.1
414,"Coons, Travis",CLE,@NYJ,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,5.1
415,"Hitchens, Anthony",DAL,NYG,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,5.1
416,"Rainey, Bobby",TBB,TEN,RB,0.0,0.0,16.4,0.1,1.6,14.3,0.0,0.0,0.0,0.0,5.1
417,"Cumberland, Jeff",NYJ,CLE,TE,0.0,0.0,0.0,0.0,1.7,20.6,0.2,0.0,0.0,0.0,5.0
418,"Vereen, Brock",CHI,GBP,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,5.0
419,"Green, Virgil",DEN,BAL,TE,0.0,0.0,0.3,0.0,1.4,29.4,0.1,0.0,0.0,0.0,5.0
420,"Artis-Payne, Cameron",CAR,@JAC,RB,0.0,0.0,23.0,0.1,1.2,7.8,0.1,0.0,0.0,0.0,5.0
421,"Robinson, Josh",IND,@BUF,RB,0.0,0.0,19.6,0.1,1.2,11.5,0.0,0.0,0.0,0.0,5.0
422,"Alexander, Kwon",TBB,TEN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.0
423,"Addae, Jahleel",SDC,DET,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0
424,"Williams, Cary",SEA,@STL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.0
425,"Roby, Bradley",DEN,BAL,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,5.0
426,"Haden, Joe",CLE,@NYJ,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,5.0
427,"Minter, Kevin",ARZ,NOR,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,5.0
428,"Cooper, Riley",PHI,@ATL,WR,0.0,0.0,0.0,0.0,2.3,24.3,0.1,0.0,0.0,0.0,5.0
429,"Lee, Marqise",JAC,CAR,WR,0.0,0.0,0.4,0.0,2.2,24.6,0.0,0.0,0.0,0.0,4.9
430,"Quinn, Robert",STL,SEA,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,4.9
431,"Cox, Perrish",TEN,@TBB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,4.9
432,"Flowers, Brandon",SDC,DET,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.9
433,"Maualuga, Rey",CIN,@OAK,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,4.9
434,"McCluster, Dexter",TEN,@TBB,RB,0.0,0.0,8.7,0.0,2.1,15.8,0.1,0.0,0.0,0.0,4.9
435,"Kendricks, Lance",STL,SEA,TE,0.0,0.0,0.0,0.0,1.7,16.2,0.3,0.0,0.0,0.0,4.9
436,"Lowery, Dwight",IND,@BUF,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,4.9
437,"Davis, Vontae",IND,@BUF,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,4.9
438,"Banks, Jonthan",TBB,TEN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,4.9
439,"Slay, Darius",DET,@SDC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.8
440,"Wreh-Wilson, Blidi",TEN,@TBB,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,4.8
