"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Derrick Coleman",3000,"Sea@GB 08:30PM ET",2.180,"Sea"
"RB","Jonathan Grimes",3000,"Hou@Car 01:00PM ET",1.869,"Hou"
"WR","Jaron Brown",3000,"Ari@Chi 01:00PM ET",3.347,"Ari"
"WR","Chris Givens",3000,"StL@Was 01:00PM ET",2.379,"StL"
"WR","Keshawn Martin",3000,"Hou@Car 01:00PM ET",0.863,"Hou"
"WR","B.J. Daniels",3000,"Sea@GB 08:30PM ET",0,"Sea"
"RB","Jordan Todman",3000,"SF@Pit 01:00PM ET",4.713,"Pit"
"WR","Jarius Wright",3000,"Det@Min 01:00PM ET",7.869,"Min"
"RB","Brandon Bolden",3000,"NE@Buf 01:00PM ET",1.139,"NE"
"RB","Lance Dunbar",3000,"Dal@Phi 04:25PM ET",2.756,"Dal"
"WR","Russell Shepard",3000,"TB@NO 01:00PM ET",0.644,"TB"
"RB","Mike James",3000,"TB@NO 01:00PM ET",0.382,"TB"
"RB","Tommy Bohanon",3000,"NYJ@Ind 08:30PM ET",1.325,"NYJ"
"RB","Toben Opurum",3000,"TB@NO 01:00PM ET",0,"NO"
"WR","Ryan Grant",3000,"StL@Was 01:00PM ET",0.863,"Was"
"RB","Rex Burkhead",3000,"SD@Cin 01:00PM ET",2.930,"Cin"
"WR","Michael Campanaro",3000,"Bal@Oak 04:05PM ET",5.183,"Bal"
"RB","Nikita Whitlock",3000,"Atl@NYG 01:00PM ET",0,"NYG"
"RB","Bryce Brown",3000,"NE@Buf 01:00PM ET",6.457,"Buf"
"RB","Stepfan Taylor",3000,"Ari@Chi 01:00PM ET",4.413,"Ari"
"RB","Zac Stacy",3000,"NYJ@Ind 08:30PM ET",5.115,"NYJ"
"WR","Dri Archer",3000,"SF@Pit 01:00PM ET",1.362,"Pit"
"WR","Marquise Goodwin",3000,"NE@Buf 01:00PM ET",0.600,"Buf"
"RB","Brandon Wegher",3000,"Hou@Car 01:00PM ET",0,"Car"
"WR","Kevin Norwood",3000,"Hou@Car 01:00PM ET",1.920,"Car"
"RB","Chris Thompson",3000,"StL@Was 01:00PM ET",7.950,"Was"
"WR","Ricardo Lockette",3000,"Sea@GB 08:30PM ET",2.733,"Sea"
"RB","Christine Michael",3000,"Dal@Phi 04:25PM ET",1.970,"Dal"
"RB","Denard Robinson",3000,"Mia@Jax 04:05PM ET",9.354,"Jax"
"WR","Nick Williams",3000,"Atl@NYG 01:00PM ET",0,"Atl"
"WR","Devin Street",3000,"Dal@Phi 04:25PM ET",0.211,"Dal"
"WR","Chris Matthews",3000,"Sea@GB 08:30PM ET",0.000,"Sea"
"WR","Aaron Dobson",3000,"NE@Buf 01:00PM ET",1.700,"NE"
"RB","Bernard Pierce",3000,"Mia@Jax 04:05PM ET",3.840,"Jax"
"WR","Stedman Bailey",3000,"StL@Was 01:00PM ET",6.414,"StL"
"WR","Quincy Enunwa",3000,"NYJ@Ind 08:30PM ET",0.000,"NYJ"
"RB","Vick Ballard",3000,"NYJ@Ind 08:30PM ET",0,"Ind"
"RB","Jay Prosch",3000,"Hou@Car 01:00PM ET",0.213,"Hou"
"RB","Jalston Fowler",3000,"Ten@Cle 01:00PM ET",0,"Ten"
"WR","TJ Jones",3000,"Det@Min 01:00PM ET",0,"Det"
"RB","Orleans Darkwa",3000,"Atl@NYG 01:00PM ET",1.645,"NYG"
"RB","Roosevelt Nix",3000,"SF@Pit 01:00PM ET",0,"Pit"
"WR","Rod Streater",3000,"Bal@Oak 04:05PM ET",7.800,"Oak"
"RB","Marcus Murphy",3000,"TB@NO 01:00PM ET",0,"NO"
"RB","Andre Williams",3000,"Atl@NYG 01:00PM ET",9.444,"NYG"
"WR","Joshua Bellamy",3000,"Ari@Chi 01:00PM ET",0.000,"Chi"
"RB","Malcolm Johnson",3000,"Ten@Cle 01:00PM ET",0,"Cle"
"WR","Josh Huff",3000,"Dal@Phi 04:25PM ET",1.958,"Phi"
"RB","Michael Burton",3000,"Det@Min 01:00PM ET",0,"Det"
"RB","Corey Grant",3000,"Mia@Jax 04:05PM ET",0,"Jax"
"WR","DeAndrew White",3000,"SF@Pit 01:00PM ET",0,"SF"
"WR","Tyler Murphy",3000,"SF@Pit 01:00PM ET",0,"Pit"
"WR","Matt Hazel",3000,"Mia@Jax 04:05PM ET",0,"Mia"
"WR","Keith Mumphery",3000,"Hou@Car 01:00PM ET",0,"Hou"
"RB","Jeremy Langford",3000,"Ari@Chi 01:00PM ET",0,"Chi"
"WR","Rishard Matthews",3000,"Mia@Jax 04:05PM ET",2.700,"Mia"
"WR","Justin Hardy",3000,"Atl@NYG 01:00PM ET",0,"Atl"
